"","ABEV3.SA.Adjusted","AZUL4.SA.Adjusted","B3SA3.SA.Adjusted","BBAS3.SA.Adjusted","BBDC4.SA.Adjusted","BBSE3.SA.Adjusted","BPAC11.SA.Adjusted","BRDT3.SA.Adjusted","BRFS3.SA.Adjusted","BRML3.SA.Adjusted","BTOW3.SA.Adjusted","CCRO3.SA.Adjusted","CIEL3.SA.Adjusted","CMIG4.SA.Adjusted","COGN3.SA.Adjusted","CSNA3.SA.Adjusted","CYRE3.SA.Adjusted","ELET3.SA.Adjusted","EQTL3.SA.Adjusted","GGBR4.SA.Adjusted","GOAU4.SA.Adjusted","GOLL4.SA.Adjusted","IRBR3.SA.Adjusted","ITSA4.SA.Adjusted","ITUB4.SA.Adjusted","JBSS3.SA.Adjusted","KLBN11.SA.Adjusted","LAME4.SA.Adjusted","LREN3.SA.Adjusted","MGLU3.SA.Adjusted","MRFG3.SA.Adjusted","MRVE3.SA.Adjusted","MULT3.SA.Adjusted","PETR3.SA.Adjusted","PETR4.SA.Adjusted","RADL3.SA.Adjusted","RAIL3.SA.Adjusted","RENT3.SA.Adjusted","SBSP3.SA.Adjusted","SULA11.SA.Adjusted","SUZB3.SA.Adjusted","UGPA3.SA.Adjusted","USIM5.SA.Adjusted","VALE3.SA.Adjusted","VVAR3.SA.Adjusted","WEGE3.SA.Adjusted","YDUQ3.SA.Adjusted"
"226",15.887413,34.299999,26.948736,40.825153,29.445057,22.902834,21.037182,20.88452,22.5,12.045243,38.2813,11.655732,8.028908,11.063293,10.772248,7.819579,12.044608,22.486137,14.251727,14.696922,6.886011,21.35,23.937109,11.330219,33.759689,11.483145,15.945402,19.547642,34.734837,5.04227,6.2,9.411062,23.014101,26.315166,23.549059,12.248394,17.6,25.994761,27.094324,25.090872,38.093422,23.317959,8.748353,48.625011,5.04,17.742086,24.619535
"227",16.154751,34.740002,26.525455,40.274681,29.097076,22.77417,21.037182,20.87598,22.17,12.091714,37.826599,11.884455,8.578587,11.133425,10.376937,7.899734,12.410653,21.316885,13.989803,15.066778,7.089396,21.6,23.699636,11.194148,33.453209,11.50269,15.795767,19.283461,34.435482,4.847636,6.2,9.418834,22.730095,26.579737,23.820381,12.238545,17.440001,25.144529,26.641336,24.997942,40.011307,22.754515,9.108808,49.373093,5.18,17.362108,23.848669
"228",15.982891,33.119999,26.478428,39.796402,28.597755,22.468582,20.80924,21.345585,22.549999,12.175362,38.834801,11.802114,8.704742,11.080803,10.465881,8.175825,12.428086,21.465279,14.155432,15.718894,7.360574,21.35,23.329178,11.112373,33.030464,11.688375,15.674192,19.342165,34.497097,4.774018,6.36,9.364512,22.397127,27.335648,24.26947,12.500532,16.780001,24.81743,26.858393,25.778545,40.706047,22.913435,9.537457,50.598068,5.12,17.498508,24.224466
"229",15.896962,32.139999,26.243273,39.399342,28.519981,22.114746,20.799742,21.337046,22.4,12.212538,38.943501,11.25318,8.587599,10.975742,10.080453,7.935359,12.227631,21.255781,13.895434,15.387969,7.157189,20.459999,23.633141,10.948824,32.993294,11.219276,15.225288,19.146515,33.783695,4.85264,6.25,9.154822,22.269815,26.853758,23.708111,12.606903,16.35,24.63994,26.905582,26.20602,38.797955,22.648567,9.138034,49.447899,5.15,17.576452,23.501778
"230",15.791938,33.240002,26.534861,39.796402,28.504814,22.355999,21.037182,21.208973,23.35,12.082419,39.437698,11.527647,8.353309,10.879347,10.119984,7.962078,12.550099,21.508835,14.001359,15.572898,7.234669,20.85,23.55715,10.948824,33.011868,11.834969,15.234641,19.351984,34.699673,4.855881,6.33,9.286872,22.592989,27.014385,23.913942,12.348855,16.6,24.761404,27.066013,26.884405,38.934944,22.778593,9.245197,49.373093,5.2,17.391336,23.800491
"231",15.648721,32.580002,26.892298,40.040051,28.81517,22.918919,20.799742,21.089439,23.08,11.924418,38.805099,11.362966,8.677711,10.80055,10.070569,8.006608,12.81156,21.578669,13.722103,15.397701,7.13782,20.41,23.731262,11.230494,33.309196,11.922924,15.169176,19.381336,35.148792,4.868244,6.34,9.317877,22.759476,25.889967,23.006409,12.370523,16.25,25.322012,26.952766,27.627836,38.396763,23.592459,9.060098,48.90554,5.18,17.371849,23.935392
"232",15.381386,31.35,26.807644,39.733227,28.678926,23.071712,20.951704,20.688139,22.799999,12.138186,37.540001,11.207435,8.542542,10.686643,10.021157,7.739424,12.855136,22.067318,13.552623,15.251708,7.128136,19.809999,24.032093,11.012427,33.039753,11.776332,14.897964,19.048737,34.470642,4.839392,6.26,9.302331,22.720304,26.315166,23.174818,12.100658,16.209999,25.294048,27.207573,27.033091,37.330189,23.12533,8.767837,47.961098,5.04,17.235449,23.280155
"233",15.171335,30.860001,25.876429,38.569115,28.126419,22.838503,20.438835,20.602758,21.74,11.803595,36.788799,10.99701,8.182097,10.677887,9.635728,7.552396,13.07302,21.639771,13.425512,14.920782,6.934436,18.4,23.810486,10.676238,32.157078,11.483145,15.010189,18.559547,33.686821,4.726905,5.92,9.084955,22.446095,25.011221,21.930471,11.996255,15.8,25.051031,26.867832,26.828646,36.449524,22.821936,8.475575,46.941841,4.87,16.76778,22.962173
"234",15.228621,32.869999,25.951677,38.794716,28.45186,22.886751,20.372351,20.278305,21.5,11.868654,37.006199,11.115946,8.245175,10.818059,9.635728,7.721612,13.290904,22.486137,13.654696,15.066778,6.847271,20.799999,23.873749,10.712581,32.445107,11.092229,14.869905,18.960672,34.682034,4.840569,5.89,9.310104,22.583197,24.850588,21.790129,12.40007,16.299999,25.443474,27.452942,27.730061,35.06004,23.322775,8.524285,47.315876,4.95,16.952898,23.077803
"235",15.228621,33.650002,26.478428,38.89941,28.641054,22.930908,20.619286,19.924128,22.190001,12.249715,37.065498,11.070201,8.425398,11.028273,9.685142,8.122388,12.959721,22.049862,13.712473,14.988914,6.876326,20.9,23.952969,10.821617,32.668095,11.248596,14.767034,19.371521,34.805367,4.946866,5.8,9.061636,23.239344,24.935629,21.799484,12.616752,16.379999,26.078938,29.179956,26.503395,35.510155,24.078852,9.118549,47.100807,4.78,16.855471,23.087437
"236",15.581886,33.900002,26.055147,39.89497,29.398014,23.040667,20.714262,19.941566,22.68,12.212538,36.719601,11.179988,8.344298,11.19471,9.428187,8.077857,13.256042,21.805534,13.849213,14.930515,6.934436,22,24.063726,10.994252,33.24416,11.727468,14.963428,19.518286,34.928589,4.932148,5.81,9.286872,23.298103,25.067913,21.855625,12.437497,16.4,26.11622,29.463074,26.819355,36.76265,23.741747,9.40107,47.315876,4.7,16.923674,23.434328
"237",15.333646,33.349998,25.725933,39.913078,29.064945,22.922468,20.80924,20.011322,23,12.184655,37.164398,11.024456,8.506498,11.273596,9.250298,8.086764,13.473926,21.299427,13.851138,14.726122,6.818216,23.65,24.313927,11.066942,33.002583,11.80565,14.982133,19.430225,34.787731,5.023425,5.76,9.441374,23.014101,24.878937,21.565582,12.335066,16.25,26.443327,28.915712,26.224607,36.302746,23.939194,9.138034,47.577705,4.35,16.904182,23.945028
"238",15.371838,31.85,25.208586,39.55106,28.497276,22.584749,20.780745,19.985165,23,11.989477,36.146301,10.786584,8.762597,10.975742,9.013111,8.273793,13.229896,20.915524,13.641214,14.696922,6.905381,23.690001,24.123947,10.767098,32.119907,11.629738,14.701568,19.029099,34.1712,5.00782,5.57,9.35329,22.524439,24.614368,21.397179,12.02892,15.99,25.901358,28.538223,25.880768,35.441658,23.838062,9.537457,47.923695,4.36,16.485235,23.405422
"239",15.161787,33,25.067499,39.64156,29.027073,22.79582,21.227135,20.621689,23.299999,11.859359,36.235199,10.731689,8.66987,11.080803,8.993346,8.247074,13.508786,21.657228,13.600769,14.813719,6.915066,25.120001,25.146595,10.819926,32.640949,11.649284,15.290754,18.823626,34.1712,5.179482,5.45,9.769673,22.534233,23.782866,20.583208,11.645731,16.25,25.807959,28.358915,26.605614,36.645229,23.982536,9.35236,48.10136,4.58,16.397545,23.010351
